id,class_type,mel_id
001328dc-ea5d-4847-9ccf-c5aa2a3f2d0f.wav,1,001328dc-ea5d-4847-9ccf-c5aa2a3f2d0f.pt
002d28bc-7806-4dfb-9c9b-afa8cb623cac.wav,1,002d28bc-7806-4dfb-9c9b-afa8cb623cac.pt
005bca13-18d1-4514-a086-cc8c3fafeeb2.wav,1,005bca13-18d1-4514-a086-cc8c3fafeeb2.pt
006daa68-31b7-44ab-b0c6-7e5ef4e1ebf7.wav,1,006daa68-31b7-44ab-b0c6-7e5ef4e1ebf7.pt
008ba489-31ad-44d8-856b-fcf72369dc46.wav,1,008ba489-31ad-44d8-856b-fcf72369dc46.pt
00ccf4e3-6e4f-4e6b-a16d-11b4a8999d1e.wav,1,00ccf4e3-6e4f-4e6b-a16d-11b4a8999d1e.pt
01208e5c-5338-4f1b-b8c6-41c049e40d90.wav,1,01208e5c-5338-4f1b-b8c6-41c049e40d90.pt
01723b00-382f-4089-a7c3-9c90b3ddad17.wav,1,01723b00-382f-4089-a7c3-9c90b3ddad17.pt
020158eb-9cb5-4977-8131-840cdaf199b4.wav,1,020158eb-9cb5-4977-8131-840cdaf199b4.pt
0258d823-7bdf-451a-9a6c-c48ec3ab3228.wav,1,0258d823-7bdf-451a-9a6c-c48ec3ab3228.pt
027a525e-fe55-41d5-bf07-38eda9c56554.wav,1,027a525e-fe55-41d5-bf07-38eda9c56554.pt
02d9d3f1-0004-4d00-937a-9c26598ab707.wav,1,02d9d3f1-0004-4d00-937a-9c26598ab707.pt
02e771ca-0ca9-4aa2-b664-74d44b1ef025.wav,1,02e771ca-0ca9-4aa2-b664-74d44b1ef025.pt
0302f00a-da0f-410a-96af-0941dedd8694.wav,1,0302f00a-da0f-410a-96af-0941dedd8694.pt
037a31d1-435a-45ba-b118-5198b451ad07.wav,1,037a31d1-435a-45ba-b118-5198b451ad07.pt
038835bc-5c44-4192-a213-5d56343b1626.wav,1,038835bc-5c44-4192-a213-5d56343b1626.pt
039d4fc1-28f7-4b06-bcaa-0de5d48e69c8.wav,1,039d4fc1-28f7-4b06-bcaa-0de5d48e69c8.pt
03a6d625-5b66-405a-9e09-f99ed2c42d41.wav,1,03a6d625-5b66-405a-9e09-f99ed2c42d41.pt
03cad1b0-fe70-42e8-9a03-d38220320b18.wav,1,03cad1b0-fe70-42e8-9a03-d38220320b18.pt
040bccc5-2b64-47c4-89ab-ae6db07e40b0.wav,1,040bccc5-2b64-47c4-89ab-ae6db07e40b0.pt
048143a5-d877-452d-9bb3-4926112b27bd.wav,1,048143a5-d877-452d-9bb3-4926112b27bd.pt
04a474fd-2546-479f-8753-5e4a291f6df6.wav,1,04a474fd-2546-479f-8753-5e4a291f6df6.pt
04a67611-1458-4270-990e-6aa64e6bcef5.wav,1,04a67611-1458-4270-990e-6aa64e6bcef5.pt
04acd541-e200-4e18-9a9a-67114e8d3710.wav,1,04acd541-e200-4e18-9a9a-67114e8d3710.pt
04bb0caf-266f-4b5e-9ec6-67f63d503050.wav,1,04bb0caf-266f-4b5e-9ec6-67f63d503050.pt
0511d1df-13db-4b61-b6b1-04044b42a557.wav,1,0511d1df-13db-4b61-b6b1-04044b42a557.pt
05262cfb-48fe-44c2-b303-56c9d5a4534d.wav,1,05262cfb-48fe-44c2-b303-56c9d5a4534d.pt
05565509-d28c-4d2a-9326-25f99afa7fcf.wav,1,05565509-d28c-4d2a-9326-25f99afa7fcf.pt
055dea93-51f5-4ec6-a6ee-1d2551e9a048.wav,1,055dea93-51f5-4ec6-a6ee-1d2551e9a048.pt
05a69903-1154-48e3-a55a-f31f85f020c7.wav,1,05a69903-1154-48e3-a55a-f31f85f020c7.pt
05bff12e-b4c3-4769-a647-89566dec0940.wav,1,05bff12e-b4c3-4769-a647-89566dec0940.pt
05fb57ae-be1b-4879-9bf4-f7fe7493f20c.wav,1,05fb57ae-be1b-4879-9bf4-f7fe7493f20c.pt
06027906-1d51-42af-907c-a8cd461d9350.wav,1,06027906-1d51-42af-907c-a8cd461d9350.pt
063013e3-a63f-40b5-97dc-b2e1de393b00.wav,1,063013e3-a63f-40b5-97dc-b2e1de393b00.pt
0651b541-90ed-4575-a2d9-9c0b54646df5.wav,1,0651b541-90ed-4575-a2d9-9c0b54646df5.pt
06cb0167-f7f3-41d8-9f4d-b9d98f38a251.wav,1,06cb0167-f7f3-41d8-9f4d-b9d98f38a251.pt
06e39517-d17d-47f0-a8bc-dc6bc8b8813c.wav,1,06e39517-d17d-47f0-a8bc-dc6bc8b8813c.pt
06e9197b-9b40-4bde-bde8-9e78242a60ac.wav,1,06e9197b-9b40-4bde-bde8-9e78242a60ac.pt
072fdfd5-9418-4db4-88e5-8a574b40d51e.wav,1,072fdfd5-9418-4db4-88e5-8a574b40d51e.pt
0739e54f-d530-48a7-ba35-3fa3c0e4dd1f.wav,1,0739e54f-d530-48a7-ba35-3fa3c0e4dd1f.pt
0745a6ed-bcab-49eb-9d2a-17819c2bf9b8.wav,1,0745a6ed-bcab-49eb-9d2a-17819c2bf9b8.pt
075cdb5a-5c29-4266-84ea-c44963bd0454.wav,1,075cdb5a-5c29-4266-84ea-c44963bd0454.pt
078e7b5d-4c60-451a-b5a5-ff90ca220aba.wav,1,078e7b5d-4c60-451a-b5a5-ff90ca220aba.pt
07e2f7e1-8e9b-4962-8701-fbe1224de7ef.wav,1,07e2f7e1-8e9b-4962-8701-fbe1224de7ef.pt
07f95718-2edc-4baa-9e18-3c6e04eb6e39.wav,1,07f95718-2edc-4baa-9e18-3c6e04eb6e39.pt
07fda61f-b265-4b00-b01b-43e4a8912e06.wav,1,07fda61f-b265-4b00-b01b-43e4a8912e06.pt
086a56fc-e5e9-43ea-928d-1dd0bd1f34ec.wav,1,086a56fc-e5e9-43ea-928d-1dd0bd1f34ec.pt
08818420-ae8d-4683-a8a5-519f60128028.wav,1,08818420-ae8d-4683-a8a5-519f60128028.pt
08973187-8cf7-4a38-bfa1-4fb715e8a1d2.wav,1,08973187-8cf7-4a38-bfa1-4fb715e8a1d2.pt
08be37d7-f0d3-486a-bdc0-3da0173bbab2.wav,1,08be37d7-f0d3-486a-bdc0-3da0173bbab2.pt
09115490-33a9-461c-9437-d7f71be057b0.wav,1,09115490-33a9-461c-9437-d7f71be057b0.pt
0953349c-da26-4e04-b5b5-37f2db69b2aa.wav,1,0953349c-da26-4e04-b5b5-37f2db69b2aa.pt
096bea79-88a1-4caa-a103-79e8eef97dd0.wav,1,096bea79-88a1-4caa-a103-79e8eef97dd0.pt
09976800-a17a-4ab5-b9a2-547a8091e6b6.wav,1,09976800-a17a-4ab5-b9a2-547a8091e6b6.pt
09ef22ac-58b8-4f3b-b00a-94f926298dae.wav,1,09ef22ac-58b8-4f3b-b00a-94f926298dae.pt
09f6a482-0eca-482e-90ba-f45aba6bd694.wav,1,09f6a482-0eca-482e-90ba-f45aba6bd694.pt
0a03da19-eb19-4f51-9860-78ad95fa8cb5.wav,1,0a03da19-eb19-4f51-9860-78ad95fa8cb5.pt
0a0b83e9-860d-42ec-855b-49e73c5ad49e.wav,1,0a0b83e9-860d-42ec-855b-49e73c5ad49e.pt
0a5cf3d4-bc32-46f8-8d03-d4fbc9db7cb2.wav,1,0a5cf3d4-bc32-46f8-8d03-d4fbc9db7cb2.pt
0b0fcb49-00ae-490d-8755-76f2297f5be0.wav,1,0b0fcb49-00ae-490d-8755-76f2297f5be0.pt
0b26bdbc-210a-4054-a683-f155e67ad2d1.wav,1,0b26bdbc-210a-4054-a683-f155e67ad2d1.pt
0b35d226-9927-4ddc-b5ea-cca273d43f66.wav,1,0b35d226-9927-4ddc-b5ea-cca273d43f66.pt
0b3ec87b-b882-4a57-9cae-b391ccb360e4.wav,1,0b3ec87b-b882-4a57-9cae-b391ccb360e4.pt
0b4919ea-1af9-4eb4-86dc-794d2ede2a0e.wav,1,0b4919ea-1af9-4eb4-86dc-794d2ede2a0e.pt
0bb977b3-9bda-4b6c-8df8-b865fff6b985.wav,1,0bb977b3-9bda-4b6c-8df8-b865fff6b985.pt
0bbd9a2b-864f-49fa-9bdf-2cb78d7ca149.wav,1,0bbd9a2b-864f-49fa-9bdf-2cb78d7ca149.pt
0bce95b8-d563-4a8f-8078-36b8d78346e8.wav,1,0bce95b8-d563-4a8f-8078-36b8d78346e8.pt
0be7aa0b-b694-4c8f-91df-b118f6d36fff.wav,1,0be7aa0b-b694-4c8f-91df-b118f6d36fff.pt
0c01c4ac-cfbf-45b9-80db-492f334aaf30.wav,1,0c01c4ac-cfbf-45b9-80db-492f334aaf30.pt
0c27559f-cf6a-4caf-9568-fd07f74302b4.wav,1,0c27559f-cf6a-4caf-9568-fd07f74302b4.pt
0cb8780c-7418-4033-880b-d90d73a4fa7a.wav,1,0cb8780c-7418-4033-880b-d90d73a4fa7a.pt
0cc0ccfb-674f-4e9b-b6f3-539478d6d08d.wav,1,0cc0ccfb-674f-4e9b-b6f3-539478d6d08d.pt
0ccdbd88-cc81-4178-8c97-3ccfa2752fcb.wav,1,0ccdbd88-cc81-4178-8c97-3ccfa2752fcb.pt
0cdd9b2f-fef0-46eb-9031-9b16e31f189c.wav,1,0cdd9b2f-fef0-46eb-9031-9b16e31f189c.pt
0d154224-0a70-4e31-8f8b-8853b333fa6b.wav,1,0d154224-0a70-4e31-8f8b-8853b333fa6b.pt
0d21c774-9099-4ade-8d43-b829e275fe8a.wav,1,0d21c774-9099-4ade-8d43-b829e275fe8a.pt
0d930dca-d29e-4b69-a211-79ce69081c97.wav,1,0d930dca-d29e-4b69-a211-79ce69081c97.pt
0daffb73-6f9f-463c-bb31-67c8bc2d3133.wav,1,0daffb73-6f9f-463c-bb31-67c8bc2d3133.pt
0db7625d-01c1-4b73-9879-c5609838c746.wav,1,0db7625d-01c1-4b73-9879-c5609838c746.pt
0ded71d7-8cd0-4a7a-9ec5-00316f088be5.wav,1,0ded71d7-8cd0-4a7a-9ec5-00316f088be5.pt
0e0987af-6e96-4c96-b73f-2deae5ff0197.wav,1,0e0987af-6e96-4c96-b73f-2deae5ff0197.pt
0e349358-dce5-4b99-9abd-8eacbd8b5cb4.wav,1,0e349358-dce5-4b99-9abd-8eacbd8b5cb4.pt
0e7f83e9-2268-4236-b585-8aea9df67bbc.wav,1,0e7f83e9-2268-4236-b585-8aea9df67bbc.pt
0e9d56a4-19c4-4124-827f-42377cd96036.wav,1,0e9d56a4-19c4-4124-827f-42377cd96036.pt
0ebb8b25-3a7e-4018-81c6-c93c832fa769.wav,1,0ebb8b25-3a7e-4018-81c6-c93c832fa769.pt
0f4b619a-862b-49aa-b751-ea93cde09f98.wav,1,0f4b619a-862b-49aa-b751-ea93cde09f98.pt
